Designator,Mid X,Mid Y,Rotation,Layer
_7,261.985,-149.81,0,top
_6,338.184998,-114.09125,0,top
_5,176.259996,-110.519375,0,top
_4,338.184998,-133.14125,0,top
_3,261.984998,-110.519375,0,top
_2,100.059996,-133.14125,0,top
,100.059996,-114.09125,0,top
D1,92.835,-114.105,180,bottom
D10,152.265,-125.595,180,bottom
D10_R1,285.465,-125.195,0,bottom
D11,171.785,-127.575,180,bottom
D11_R1,266.445,-127.645,0,bottom
D12,191.025,-129.825,180,bottom
D12_R1,247.575,-129.885,0,bottom
D13,98.575,-149.525,180,bottom
D13_R1,341.595,-150.295,0,bottom
D14,118.365,-148.535,180,bottom
D14_R1,322.415,-150.195,0,bottom
D15,135.435,-146.515,180,bottom
D15_R1,304.575,-146.365,0,bottom
D16,154.455,-144.265,180,bottom
D16_R1,285.395,-143.775,0,bottom
D17,170.265,-147.135,180,bottom
D17_R1,265.885,-145.595,0,bottom
D18,191.115,-148.955,180,bottom
D18_R1,247.415,-148.795,0,bottom
D19,165.35,-166.915,180,bottom
D19_R1,279.575,-168.725,0,bottom
D1_R1,344.195,-113.945,0,bottom
D2,114.655,-113.145,180,bottom
D20,182.765,-170.845,180,bottom
D20_R1,256.055,-170.065,0,bottom
D21,207.565,-157.455,0,bottom
D21_R1,229.095,-160.805,293.801,bottom
D2_R1,323.635,-113.335,0,bottom
D3,133.795,-108.105,180,bottom
D3_R1,304.565,-108.565,0,bottom
D4,152.795,-105.935,180,bottom
D4_R1,285.525,-106.195,0,bottom
D5,169.375,-109.125,180,bottom
D5_R1,267.935,-109.045,0,bottom
D6,190.965,-110.885,180,bottom
D6_R1,247.515,-110.915,0,bottom
D7,92.345,-133.065,180,bottom
D7_R1,344.115,-132.915,0,bottom
D8,113.735,-132.955,180,bottom
D8_R1,323.655,-132.375,0,bottom
D9,132.175,-128.105,180,bottom
D9_R1,304.535,-127.575,0,bottom
J1,207.959987,-146.335,0,bottom
J1_R1,230.308959,-146.394975,180,bottom
J2,205.575,-132.605,0,bottom
J3,203.375,-139.085,0,bottom
J3_R1,232.765,-132.515,0,bottom
J4,234.705,-138.955,180,bottom
L1,90.535,-99.865,0,bottom
L10,147.685,-111.765,0,bottom
L10_R1,290.565,-111.86,0,bottom
L11,166.735,-114.155,0,bottom
L11_R1,271.505,-114.155,0,bottom
L12,185.765,-116.555,0,bottom
L12_R1,252.455,-116.535,0,bottom
L13,90.535,-137.965,0,bottom
L13_R1,347.705,-137.965,0,bottom
L14,109.585,-137.965,0,bottom
L14_R1,328.655,-137.965,0,bottom
L15,128.615,-133.225,0,bottom
L15_R1,309.615,-133.205,0,bottom
L16,147.685,-130.825,0,bottom
L16_R1,290.565,-130.825,0,bottom
L17,166.735,-133.205,0,bottom
L17_R1,271.505,-133.205,0,bottom
L18,185.775,-135.69,0,bottom
L18_R1,252.465,-135.585,0,bottom
L19,157.205,-154.635,0,bottom
L19_R1,281.025,-154.655,0,bottom
L1_R1,347.725,-99.95,0,bottom
L2,109.595,-99.95,0,bottom
L20,178.978464,-156.933111,348,bottom
L20_R1,259.23241,-156.936428,12,bottom
L21,195.585717,-161.648554,66.2,bottom
L21_R1,242.709638,-161.74005,293.8,bottom
L2_R1,328.665,-99.95,0,bottom
L3,128.645,-95.19,0,bottom
L3_R1,309.615,-95.19,0,bottom
L4,147.665,-92.745,0,bottom
L4_R1,290.555,-92.725,0,bottom
L5,166.715,-95.125,0,bottom
L5_R1,271.515,-95.105,0,bottom
L6,185.765,-97.505,0,bottom
L6_R1,252.465,-97.485,0,bottom
L7,90.535,-118.915,0,bottom
L7_R1,347.715,-118.915,0,bottom
L8,109.565,-118.935,0,bottom
L8_R1,328.665,-118.915,0,bottom
L9,128.615,-114.175,0,bottom
L9_R1,309.625,-114.24,0,bottom
PWR1,205.475,-96.235,0,top
PWR1_R1,232.615,-96.18,0,top
RS1,198.685,-139.095,90,top
RS1_R1,239.705,-138.815,270,top
SW1,89.0175,-107.4125,0,bottom
SW10,146.1675,-119.3125,0,bottom
SW10_R1,289.0375,-119.3225,0,bottom
SW11,165.2175,-121.7025,0,bottom
SW11_R1,269.9875,-121.7025,0,bottom
SW12,184.2475,-124.1025,0,bottom
SW12_R1,250.9375,-124.0825,0,bottom
SW13,89.0175,-145.5125,0,bottom
SW13_R1,346.1875,-145.5125,0,bottom
SW14,108.0675,-145.5125,0,bottom
SW14_R1,327.1375,-145.5125,0,bottom
SW15,127.0975,-140.7725,0,bottom
SW15_R1,308.0975,-140.7525,0,bottom
SW16,146.1675,-138.3725,0,bottom
SW16_R1,289.0475,-138.3725,0,bottom
SW17,165.2175,-140.7525,0,bottom
SW17_R1,269.9875,-140.7525,0,bottom
SW18,184.247499,-143.1525,0,bottom
SW18_R1,250.9475,-143.1325,0,bottom
SW19,155.6875,-162.1825,0,bottom
SW19_R1,279.5075,-162.2025,0,bottom
SW1_R1,346.1975,-107.4125,0,bottom
SW2,108.0675,-107.4125,0,bottom
SW20,176.032454,-164.495031,348,bottom
SW20_R1,259.006406,-164.16449,12,bottom
SW21,202.525093,-165.944453,66.2,bottom
SW21_R1,235.793379,-163.312906,293.8,bottom
SW22,157.205,-159.085,270,bottom
SW22_R1,281.045,-159.335,270,bottom
SW2_R1,327.1375,-107.4125,0,bottom
SW3,127.1175,-102.6525,0,bottom
SW3_R1,308.0875,-102.6525,0,bottom
SW4,146.1475,-100.2925,0,bottom
SW4_R1,289.0375,-100.2725,0,bottom
SW5,165.1975,-102.6725,0,bottom
SW5_R1,269.9975,-102.6525,0,bottom
SW6,184.2475,-105.0525,0,bottom
SW6_R1,250.9475,-105.0325,0,bottom
SW7,89.0175,-126.4625,0,bottom
SW7_R1,346.1975,-126.4625,0,bottom
SW8,108.0475,-126.4825,0,bottom
SW8_R1,327.1475,-126.4625,0,bottom
SW9,127.0975,-121.7225,0,bottom
SW9_R1,308.0975,-121.7025,0,bottom
U1,205.545,-111.5575,0,top
U2,232.665,-111.5575,0,top
